"Quarter","Total_Export","Total_Import","Food_CPI_Index","Food_CPI_YoY"
"2019-Q1",4010,614,108.7,2.35
"2019-Q2",4647,613,108.6,2.26
"2019-Q3",4728,589,109.1,2.15
"2019-Q4",5562,694,110.6,2.79
"2020-Q1",4632,727,112.2,3.22
"2020-Q2",4521,630,113.1,4.14
"2020-Q3",3777,495,112.8,3.39
"2020-Q4",4321,639,113.2,2.35
"2021-Q1",3628,584,113.1,0.8
"2021-Q2",4310,583,113.8,0.62
"2021-Q3",4700,618,114.3,1.33
"2021-Q4",5113,618,115.4,1.94
"2022-Q1",4375,635,118,4.33
"2022-Q2",5263,696,120.4,5.8
"2022-Q3",5235,721,124.5,8.92
"2022-Q4",5109,824,126.1,9.27
"2023-Q1",4501,778,127.4,7.97
"2023-Q2",5195,831,129.4,7.48
"2023-Q3",5548,710,130.5,4.82
"2023-Q4",5552,747,131.8,4.52
"2024-Q1",5284,758,132.2,3.77
"2024-Q2",6006,789,133.7,3.32
"2024-Q3",6388,786,134.8,3.3
"2024-Q4",7063,856,135.7,2.96
"2025-Q1",6557,903,136.6,3.33
