Quarter,Australia YoY %,OECD YoY %
2019-Q1,2.582061,2.222856
2019-Q2,2.885713,2.340786
2019-Q3,2.530301,1.850676
2019-Q4,2.951773,1.770761
2020-Q1,3.786293,2.090007
2020-Q2,5.165624,4.383081
2020-Q3,4.518176,3.588571
2020-Q4,2.699886,3.230313
2021-Q1,0.2608735,2.752847
2021-Q2,0.7840203,1.521359
2021-Q3,0.797226,3.506281
2021-Q4,1.482542,5.603748
2022-Q1,5.291668,8.812995
2022-Q2,6.571121,12.55933
2022-Q3,10.71978,15.02494
2022-Q4,10.32422,15.90855
2023-Q1,8.285775,14.75124
2023-Q2,7.387622,11.25846
2023-Q3,3.470065,9.038239
2023-Q4,3.691277,7.162956
2024-Q1,2.740653,5.483585
2024-Q2,2.743833,4.796138
2024-Q3,3.615207,3.972985
2024-Q4,3.201632,4.222584
2025-Q1,3.673311,4.555849
