Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,23034,1955,03,2.3,Y
IDCJAC0001,23034,1955,04,46.2,Y
IDCJAC0001,23034,1955,05,93.7,Y
IDCJAC0001,23034,1955,06,136.1,Y
IDCJAC0001,23034,1955,07,33.2,Y
IDCJAC0001,23034,1955,08,76.4,Y
IDCJAC0001,23034,1955,09,49.5,Y
IDCJAC0001,23034,1955,10,45.1,Y
IDCJAC0001,23034,1955,11,53.3,Y
IDCJAC0001,23034,1955,12,18.0,Y
IDCJAC0001,23034,1956,01,23.9,Y
IDCJAC0001,23034,1956,02,6.6,Y
IDCJAC0001,23034,1956,03,43.2,Y
IDCJAC0001,23034,1956,04,72.9,Y
IDCJAC0001,23034,1956,05,88.5,Y
IDCJAC0001,23034,1956,06,115.6,Y
IDCJAC0001,23034,1956,07,65.8,Y
IDCJAC0001,23034,1956,08,44.5,Y
IDCJAC0001,23034,1956,09,55.2,Y
IDCJAC0001,23034,1956,10,40.2,Y
IDCJAC0001,23034,1956,11,15.8,Y
IDCJAC0001,23034,1956,12,17.6,Y
IDCJAC0001,23034,1957,01,0.3,Y
IDCJAC0001,23034,1957,02,0.8,Y
IDCJAC0001,23034,1957,03,21.1,Y
IDCJAC0001,23034,1957,04,21.6,Y
IDCJAC0001,23034,1957,05,40.1,Y
IDCJAC0001,23034,1957,06,63.4,Y
IDCJAC0001,23034,1957,07,83.1,Y
IDCJAC0001,23034,1957,08,32.4,Y
IDCJAC0001,23034,1957,09,34.5,Y
IDCJAC0001,23034,1957,10,41.1,Y
IDCJAC0001,23034,1957,11,33.7,Y
IDCJAC0001,23034,1957,12,7.8,Y
IDCJAC0001,23034,1958,01,3.9,Y
IDCJAC0001,23034,1958,02,2.3,Y
IDCJAC0001,23034,1958,03,22.1,Y
IDCJAC0001,23034,1958,04,13.5,Y
IDCJAC0001,23034,1958,05,89.3,Y
IDCJAC0001,23034,1958,06,8.2,Y
IDCJAC0001,23034,1958,07,79.2,Y
IDCJAC0001,23034,1958,08,51.2,Y
IDCJAC0001,23034,1958,09,70.4,Y
IDCJAC0001,23034,1958,10,61.3,Y
IDCJAC0001,23034,1958,11,10.3,Y
IDCJAC0001,23034,1958,12,6.6,Y
IDCJAC0001,23034,1959,01,4.4,Y
IDCJAC0001,23034,1959,02,19.4,Y
IDCJAC0001,23034,1959,03,23.9,Y
IDCJAC0001,23034,1959,04,7.1,Y
IDCJAC0001,23034,1959,05,4.4,Y
IDCJAC0001,23034,1959,06,11.5,Y
IDCJAC0001,23034,1959,07,34.1,Y
IDCJAC0001,23034,1959,08,41.8,Y
IDCJAC0001,23034,1959,09,28.0,Y
IDCJAC0001,23034,1959,10,20.9,Y
IDCJAC0001,23034,1959,11,21.5,Y
IDCJAC0001,23034,1959,12,34.6,Y
IDCJAC0001,23034,1960,01,9.1,Y
IDCJAC0001,23034,1960,02,45.2,Y
IDCJAC0001,23034,1960,03,22.6,Y
IDCJAC0001,23034,1960,04,53.9,Y
IDCJAC0001,23034,1960,05,115.9,Y
IDCJAC0001,23034,1960,06,42.7,Y
IDCJAC0001,23034,1960,07,33.4,Y
IDCJAC0001,23034,1960,08,30.9,Y
IDCJAC0001,23034,1960,09,96.4,Y
IDCJAC0001,23034,1960,10,20.8,Y
IDCJAC0001,23034,1960,11,65.4,Y
IDCJAC0001,23034,1960,12,2.4,Y
IDCJAC0001,23034,1961,01,4.8,Y
IDCJAC0001,23034,1961,02,11.0,Y
IDCJAC0001,23034,1961,03,6.2,Y
IDCJAC0001,23034,1961,04,110.0,Y
IDCJAC0001,23034,1961,05,26.3,Y
IDCJAC0001,23034,1961,06,39.6,Y
IDCJAC0001,23034,1961,07,40.8,Y
IDCJAC0001,23034,1961,08,40.1,Y
IDCJAC0001,23034,1961,09,24.0,Y
IDCJAC0001,23034,1961,10,8.3,Y
IDCJAC0001,23034,1961,11,10.1,Y
IDCJAC0001,23034,1961,12,7.3,Y
IDCJAC0001,23034,1962,01,8.7,Y
IDCJAC0001,23034,1962,02,15.8,Y
IDCJAC0001,23034,1962,03,23.4,Y
IDCJAC0001,23034,1962,04,2.1,Y
IDCJAC0001,23034,1962,05,76.2,Y
IDCJAC0001,23034,1962,06,40.7,Y
IDCJAC0001,23034,1962,07,32.3,Y
IDCJAC0001,23034,1962,08,51.9,Y
IDCJAC0001,23034,1962,09,13.1,Y
IDCJAC0001,23034,1962,10,65.4,Y
IDCJAC0001,23034,1962,11,12.9,Y
IDCJAC0001,23034,1962,12,43.0,Y
IDCJAC0001,23034,1963,01,62.3,Y
IDCJAC0001,23034,1963,02,3.3,Y
IDCJAC0001,23034,1963,03,1.8,Y
IDCJAC0001,23034,1963,04,45.7,Y
IDCJAC0001,23034,1963,05,125.4,Y
IDCJAC0001,23034,1963,06,88.6,Y
IDCJAC0001,23034,1963,07,92.8,Y
IDCJAC0001,23034,1963,08,47.5,Y
IDCJAC0001,23034,1963,09,25.0,Y
IDCJAC0001,23034,1963,10,69.4,Y
IDCJAC0001,23034,1963,11,8.6,Y
IDCJAC0001,23034,1963,12,2.9,Y
IDCJAC0001,23034,1964,01,8.4,Y
IDCJAC0001,23034,1964,02,7.7,Y
IDCJAC0001,23034,1964,03,2.5,Y
IDCJAC0001,23034,1964,04,34.8,Y
IDCJAC0001,23034,1964,05,50.3,Y
IDCJAC0001,23034,1964,06,35.1,Y
IDCJAC0001,23034,1964,07,101.5,Y
IDCJAC0001,23034,1964,08,31.2,Y
IDCJAC0001,23034,1964,09,62.3,Y
IDCJAC0001,23034,1964,10,48.7,Y
IDCJAC0001,23034,1964,11,94.9,Y
IDCJAC0001,23034,1964,12,17.5,Y
IDCJAC0001,23034,1965,01,7.9,Y
IDCJAC0001,23034,1965,02,0.3,Y
IDCJAC0001,23034,1965,03,10.2,Y
IDCJAC0001,23034,1965,04,25.4,Y
IDCJAC0001,23034,1965,05,64.6,Y
IDCJAC0001,23034,1965,06,26.3,Y
IDCJAC0001,23034,1965,07,56.6,Y
IDCJAC0001,23034,1965,08,44.4,Y
