Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,40842,1994,07,11.0,N
IDCJAC0001,40842,1994,08,1.0,N
IDCJAC0001,40842,1994,09,8.8,N
IDCJAC0001,40842,1994,10,25.2,N
IDCJAC0001,40842,1994,11,40.4,N
IDCJAC0001,40842,1994,12,33.4,N
IDCJAC0001,40842,1995,01,30.8,N
IDCJAC0001,40842,1995,06,23.0,N
IDCJAC0001,40842,1995,07,0.8,N
IDCJAC0001,40842,1995,08,5.0,N
IDCJAC0001,40842,1995,09,6.2,N
IDCJAC0001,40842,1995,10,70.6,N
IDCJAC0001,40842,1995,11,176.4,N
IDCJAC0001,40842,1995,12,220.6,N
IDCJAC0001,40842,1996,01,241.2,N
IDCJAC0001,40842,1996,02,30.6,N
IDCJAC0001,40842,1996,03,42.4,N
IDCJAC0001,40842,1996,04,69.0,N
IDCJAC0001,40842,1996,05,577.2,N
IDCJAC0001,40842,1996,06,0.0,N
IDCJAC0001,40842,1996,07,3.0,N
IDCJAC0001,40842,1996,08,0.0,N
IDCJAC0001,40842,1996,09,26.0,N
IDCJAC0001,40842,1996,10,45.0,N
IDCJAC0001,40842,1996,11,97.8,N
IDCJAC0001,40842,1996,12,116.4,N
IDCJAC0001,40842,1997,01,94.4,N
IDCJAC0001,40842,1997,02,93.2,N
IDCJAC0001,40842,1997,03,78.6,N
IDCJAC0001,40842,1997,04,19.0,N
IDCJAC0001,40842,1997,05,133.4,N
IDCJAC0001,40842,1997,06,26.8,N
IDCJAC0001,40842,1997,07,27.2,N
IDCJAC0001,40842,1997,08,3.6,N
IDCJAC0001,40842,1997,09,48.0,N
IDCJAC0001,40842,1997,10,106.2,N
IDCJAC0001,40842,1997,11,116.0,N
IDCJAC0001,40842,1997,12,68.2,N
IDCJAC0001,40842,1998,01,59.6,N
IDCJAC0001,40842,1998,02,61.2,N
IDCJAC0001,40842,1998,03,50.4,N
IDCJAC0001,40842,1998,04,192.2,N
IDCJAC0001,40842,1998,05,174.4,N
IDCJAC0001,40842,1998,06,13.4,N
IDCJAC0001,40842,1998,07,31.4,N
IDCJAC0001,40842,1998,08,138.0,N
IDCJAC0001,40842,1998,09,122.0,N
IDCJAC0001,40842,1998,10,28.0,N
IDCJAC0001,40842,1998,11,113.6,N
IDCJAC0001,40842,1998,12,89.8,N
IDCJAC0001,40842,1999,01,255.8,N
IDCJAC0001,40842,1999,02,284.0,N
IDCJAC0001,40842,1999,03,177.6,N
IDCJAC0001,40842,1999,04,67.2,N
IDCJAC0001,40842,1999,05,69.2,N
IDCJAC0001,40842,1999,06,213.2,N
IDCJAC0001,40842,1999,07,112.4,N
IDCJAC0001,40842,1999,08,70.4,N
IDCJAC0001,40842,1999,09,65.2,N
IDCJAC0001,40842,1999,10,175.2,N
IDCJAC0001,40842,1999,11,59.8,N
IDCJAC0001,40842,1999,12,178.8,N
IDCJAC0001,40842,2000,01,55.2,N
IDCJAC0001,40842,2000,03,36.4,Y
IDCJAC0001,40842,2000,04,38.8,Y
IDCJAC0001,40842,2000,05,52.8,Y
IDCJAC0001,40842,2000,06,41.0,Y
IDCJAC0001,40842,2000,07,24.6,Y
IDCJAC0001,40842,2000,08,25.8,Y
IDCJAC0001,40842,2000,09,0.8,Y
IDCJAC0001,40842,2000,10,55.2,Y
IDCJAC0001,40842,2000,11,106.4,Y
IDCJAC0001,40842,2000,12,53.4,Y
IDCJAC0001,40842,2001,01,47.2,Y
IDCJAC0001,40842,2001,02,173.6,Y
IDCJAC0001,40842,2001,03,154.4,Y
IDCJAC0001,40842,2001,04,33.6,Y
IDCJAC0001,40842,2001,05,37.0,Y
IDCJAC0001,40842,2001,06,17.2,Y
IDCJAC0001,40842,2001,07,28.8,Y
IDCJAC0001,40842,2001,08,12.0,Y
IDCJAC0001,40842,2001,09,12.6,Y
IDCJAC0001,40842,2001,10,92.8,Y
IDCJAC0001,40842,2001,11,212.6,Y
IDCJAC0001,40842,2001,12,77.6,Y
IDCJAC0001,40842,2002,01,60.8,Y
IDCJAC0001,40842,2002,02,46.2,Y
IDCJAC0001,40842,2002,03,57.8,Y
IDCJAC0001,40842,2002,04,49.2,Y
IDCJAC0001,40842,2002,05,64.2,Y
IDCJAC0001,40842,2002,06,67.8,Y
IDCJAC0001,40842,2002,07,1.0,Y
IDCJAC0001,40842,2002,08,101.0,Y
IDCJAC0001,40842,2002,09,21.6,Y
IDCJAC0001,40842,2002,10,40.4,Y
IDCJAC0001,40842,2002,11,38.4,Y
IDCJAC0001,40842,2002,12,177.4,Y
IDCJAC0001,40842,2003,01,9.4,Y
IDCJAC0001,40842,2003,02,211.4,Y
IDCJAC0001,40842,2003,03,102.6,Y
IDCJAC0001,40842,2003,04,51.2,Y
IDCJAC0001,40842,2003,05,127.6,Y
IDCJAC0001,40842,2003,06,80.6,Y
IDCJAC0001,40842,2003,07,40.4,Y
IDCJAC0001,40842,2003,08,25.6,Y
IDCJAC0001,40842,2003,09,5.8,Y
IDCJAC0001,40842,2003,10,65.8,Y
IDCJAC0001,40842,2003,11,46.4,Y
IDCJAC0001,40842,2003,12,140.4,Y
IDCJAC0001,40842,2004,01,284.8,Y
IDCJAC0001,40842,2004,02,120.8,Y
IDCJAC0001,40842,2004,03,144.8,Y
IDCJAC0001,40842,2004,04,47.4,Y
IDCJAC0001,40842,2004,05,12.6,Y
IDCJAC0001,40842,2004,06,5.6,Y
IDCJAC0001,40842,2004,07,4.0,Y
IDCJAC0001,40842,2004,08,11.2,Y
IDCJAC0001,40842,2004,09,33.4,Y
IDCJAC0001,40842,2004,10,41.6,Y
IDCJAC0001,40842,2004,11,121.4,Y
IDCJAC0001,40842,2004,12,253.4,Y
IDCJAC0001,40842,2005,01,71.0,Y
IDCJAC0001,40842,2005,02,33.8,Y
IDCJAC0001,40842,2005,03,19.8,Y
IDCJAC0001,40842,2005,04,83.8,Y
IDCJAC0001,40842,2005,05,53.6,Y
IDCJAC0001,40842,2005,06,166.2,Y
IDCJAC0001,40842,2005,07,15.2,Y
IDCJAC0001,40842,2005,08,26.0,Y
IDCJAC0001,40842,2005,09,22.0,Y
IDCJAC0001,40842,2005,10,133.4,Y
IDCJAC0001,40842,2005,11,125.2,Y
IDCJAC0001,40842,2005,12,121.8,Y
IDCJAC0001,40842,2006,01,168.4,Y
IDCJAC0001,40842,2006,02,49.8,Y
IDCJAC0001,40842,2006,03,76.0,Y
IDCJAC0001,40842,2006,04,15.0,Y
IDCJAC0001,40842,2006,05,9.4,Y
IDCJAC0001,40842,2006,06,60.8,Y
IDCJAC0001,40842,2006,07,28.4,Y
IDCJAC0001,40842,2006,08,25.6,Y
IDCJAC0001,40842,2006,09,38.4,Y
IDCJAC0001,40842,2006,10,9.0,Y
IDCJAC0001,40842,2006,11,56.2,Y
IDCJAC0001,40842,2006,12,75.2,Y
IDCJAC0001,40842,2007,01,103.2,Y
IDCJAC0001,40842,2007,02,119.0,Y
IDCJAC0001,40842,2007,03,26.6,Y
IDCJAC0001,40842,2007,04,12.6,Y
IDCJAC0001,40842,2007,05,72.8,Y
